text,class
﻿ اعتقل اندونيسي من قبل الشرطة بعد ان اثار جدلا بقوله انه يمكن تلاوة القران,religon
﻿ عمان - الراي - اكد المهندس نضال الحديد امين عمان علي ان امانة عمان الكبري,env
(2) امه هي امنه بنت وهب بن عبد مناف بن زهره بن كلاب بن مره ويتصل نسب امه مع ابيه ابتداء من كلاب بن مره,religon
(ناسا) لتركيب نظام قياسي ضوئي شمسي طيفي لرصد التلوث الجوي في سماء القرية,ST
"@ 3drees: حماقي حلف بالله انه ما يستمتع الا مع الجمهور السعودي ، فقال بثبت لكم هالشيء 😭 حماقي @Hamaki https://t.co/bFHg9AoUrU بنسي روحي واسمي وكلامي هي دي بالضبط احلامي مش هدور واحتار حماقي 🎶 🎶 🎶 هو حماقي مبيعملش حاجة وحشة حتي اعلاناته حلوة عموما يلا مش",art
"@ 3drees: حماقي حلف بالله انه ما يستمتع الا مع الجمهور السعودي ، فقال بثبت لكم هالشيء 😭 حماقي @Hamaki https://t.co/bFHg9AoUrU حماقي خليتني انام واقوم اقول ب ❤ ح ❤ ب ❤ ك https://t.co/YVafVEIt3A الحكايه حكايتنا والليالي سرقتنا دنيا مهما خدتنا وودتنا وجابتنا لسه",art
@ 89li: طلعو اغنية حماقي من راسي .. ياستار قلبي ولع نار نار دنا عيني منك 🤤 https://t.co/LCWEOc7zW6,art
@ AK SA: الحين هذي كيف تطلع من مخي ياستار قلبي ولع نار 🕺🏻 حماقي https://t.co/hDAQntu9KE,art
@ AK SA: الحين هذي كيف تطلع من مخي ياستار قلبي ولع نار 🕺🏻 حماقي https://t.co/hDAQntu9KE ياااما حكيت عليك للناس وللايام قالولي حيوان قلت حقيقة مش اوهام 🎶 حماقي راسمك في خيالي حماقي فقره الدموع في ذا الهاشتاق https://t.co/oEAdTyTXtG دا الي من زمان نفسي اب,art
"@ Ammor : ظل القمر علي الارض فوق اجزاء من ماليزيا و الفلبين من محطة الفضاء الدولية اثناء الكسوف الحلقي البارحة https://t.co/IlwDfK3MCa"" فكرة الجمال هي بهجة ابدية ""-لوكا بارتيانو قائد محطة الفضاء الدولية https://t.co/o1orwTzGGJ",ST
